Rating,Title,Review
5.0,Excellent,Good phone for the price Display is average Camera is good back Front average  Battery ok Back plastic frame average feel Performance is good for the price  Only buy this as a daily driver and don't expect heavy gaming overall a good phone for good price. final verdict: good phone for its price READ MORE
5.0,Terrific,Mobile is fine and satisfied for all but i think also add screen gard ( Glass ) and Back cover in box than is better for on this price . 👍👌😊 READ MORE
5.0,Excellent,Very fast delivery battery backup is good camera quality is also good and within this range we can't get much better than this READ MORE
3.0,Fair,"This mobile is purely for normal use, I don't recommend this for heavy users. Camera is ok. The battery is really working good and long lasting. Samsung could have given a  better processor. I will recommend to choose other mobile in this price range according to processor. Otherwise everything is ok ok. READ MORE"
4.0,Wonderful,Good Night H you too good luck with the best of health and good health READ MORE
4.0,Nice product,"I am using this Phone since last 7 days , Feel like Very good Handset . In this price segment it is best . READ MORE"
5.0,Mind-blowing purchase,🌟Its a great day to day usage phone🌟 Best budget segment smartphone🏅 Very durable long lasting  battery⚡ 8gb Ram+ feature is good🎁 Gameplay is also fine but not great⚡ Not much heating issues its gud❄ Camera quality is good and refreshing🤩 Punchy viewing experience🤩  despite missing amoled display. Im now a fan of samsung phone display🌌 🌟This smartphone is great value for money🌟 💯Worthy buy💯 Atlast It is built by the world number one Smartphone brand🌟 Its a great deal dont miss it... READ MORE
4.0,Value-for-money,The 50 MP camera performs like a 48 MP camera bit it's still good. Battery performance is above the bar. Pretty decent phone. Loved it. READ MORE
5.0,Just wow!,"Best budget buy. Gifted this phone 2 my father. If u r looking for budget phone and classy 1 then u can go for this. Thanks 2 flipkart for providing quality phone, unique colors, quick delivery, best deals, hassle free exchange policy. Sharing review after using phone for almost 15 days. READ MORE"
5.0,Terrific purchase,Very good budget branded Phone.  Not suitable for heavy users 100% suitable for my parents & business usages. Overall very worth for money Design is very nice Rating 9/10 READ MORE
4.0,Delightful,It is a nice product but with a bit less good performance on behafe of camera but overall in display performance battery it's worth the price. I didn't received handset with it. READ MORE
4.0,Good quality product,"Nice for beginners , but not recommended after switching other mobiles ,battery has best performance, camera ok in the range , performance ok ok not so impressed, display is perfect at this range got under 10k so a good purchase READ MORE"
5.0,Brilliant,Good phone with a great battery capacity.  I will not recommend this phone for gamers and heavy users but for the price range and good spes this for for average users . READ MORE
5.0,Simply awesome,Nice mobile 👍👍and ossam picture quality READ MORE
5.0,Awesome,This mobile is awesome READ MORE
5.0,Classy product,Very good READ MORE
5.0,Mind-blowing purchase,Vale for money 💰 READ MORE
5.0,Highly recommended,Nice READ MORE
3.0,Just okay,It's an average  phone not for heavy users READ MORE
4.0,Very Good,Good product... READ MORE
5.0,Must buy!,Good product for a student  . READ MORE
5.0,Fabulous!,"In this price point good performance,and camera, Totally worth it. READ MORE"
3.0,Nice,Good READ MORE
5.0,Brilliant,Nice noty phone READ MORE
5.0,Perfect product!,Good product READ MORE
4.0,Good quality product,Good product in love you samsung READ MORE
5.0,Brilliant,I like the  product READ MORE
5.0,Mind-blowing purchase,Very nice product good price thank you Flipkart READ MORE
5.0,Super!,Really awesome working nice good battery backup camera is awesome READ MORE
4.0,Pretty good,Value For Money READ MORE
5.0,Simply awesome,Good READ MORE
5.0,Super!,Nice product READ MORE
4.0,Really Nice,In this range samsung best mobile READ MORE
5.0,Must buy!,Vary good READ MORE
4.0,Worth the money,Good product READ MORE
4.0,Good choice,Good product it is good for normal use READ MORE
5.0,Worth every penny,East or west samsung is best READ MORE
4.0,Very Good,Good READ MORE
3.0,Does the job,Phone is average. No back cover. No screen cover. Not 5g. No fast charging. Perfomance good. Good battery perfomance. Good display. Average camera quality. Samsung lovers can buy. Compared to other smart this phone its not good. Not a budject smartphone. READ MORE
5.0,Highly recommended,Very nice READ MORE
5.0,Best in the market!,Superb phone 👍📱📱 READ MORE
